vocablo,enlace
AH1N1,https://youtu.be/87g_RMqcN7Y
Fotógrafo,https://youtu.be/8Ko4dpKItzs
Vinotinto,https://youtu.be/8fIgSVZnqP4
Chikungunya,https://youtu.be/9ZRuYuXMQI0
Batidos,https://youtu.be/9hyPW2tT7nU
ñ,https://youtu.be/9lJ9j95ECA4
Mesa comedor,https://youtu.be/9tOGpIyshno
Salsa de ajo,https://youtu.be/9y28egZVz3I
q,https://youtu.be/A38vyVw3PCI
Grande,https://youtu.be/A5Kcl288vOo
Cbit,https://youtu.be/A8hs3euVqVA
Bate,https://youtu.be/AFaZ6sUnfFA
Padrino,https://youtu.be/APUsAX32eJo
Cocina eléctrica,https://youtu.be/BcrAa0ogu9Y
Amigo,https://youtu.be/BmRk5vmmqhU
Compás,https://youtu.be/CGwp38lYlKc
Cero,https://youtu.be/CT3-bhglo_g
Un millón,https://youtu.be/Ccsu19V0E4M
Panela,https://youtu.be/CdbEvvjiKeI
Calor,https://youtu.be/Ce5jCBIKRgQ
l,https://youtu.be/CnBtHOr6y5k
Losa,https://youtu.be/CvANXvOwN24
Vaso,https://youtu.be/D0KhcuMz7yE
Cuadrado,https://youtu.be/D7EITSAf1SA
regla de plástico,https://youtu.be/DEuuNtCQaH8
Pintor,https://youtu.be/DSB-lX2g6NQ
Casado,https://youtu.be/DhPNgsGvPVQ
Guisantes,https://youtu.be/Dm4xO8ZJVk0
Director,https://youtu.be/DmxdW9djOag
y,https://youtu.be/DyavT3Ex0fw
Huevo,https://youtu.be/E-KbHTOJnts
Mesa de noche,https://youtu.be/E1HWDRifQCA
Farmacéutico,https://youtu.be/EFlT-ADTSG8
r,https://youtu.be/EGaYmIkw_6M
Viento,https://youtu.be/EJut6auTPa8
Páramos,https://youtu.be/E_pMyKiPwoY
Cheez Whiz,https://youtu.be/EaqLQS_FaZc
Reportero,https://youtu.be/EqzSL6-_ELk
z,https://youtu.be/EvthZy0QQo8
Almohada,https://youtu.be/F-auGudBf7U
Enfermera,https://youtu.be/FCW0_oPnRpw
Jardín,https://youtu.be/FZ1ufLzK3G0
Batidor,https://youtu.be/FZESUFmixn4
Marcador fino,https://youtu.be/Fa9XLRBpP4k
Cuñado,https://youtu.be/Fhb-o66hilA
Closet,https://youtu.be/FngGUjU-Pdc
Bandera,https://youtu.be/FwhM5wC2XhU
Habitación,https://youtu.be/FxsWpTGCwpY
Anteayer,https://youtu.be/GMgj-pA3TNE
Diablito,https://youtu.be/Gah8GYbw_wo
Arquitecto,https://youtu.be/Gv9vsbFaKvo
Cortina,https://youtu.be/GvcR5LrEpOM
Escudo,https://youtu.be/HD3bn4-DTp8
Doscientos,https://youtu.be/HHmDRWgvGpc
Heladería,https://youtu.be/HOtrXedASLw
Allá,https://youtu.be/HZDPy5SnoV4
Goma de barra,https://youtu.be/HjYB2LvbJ60
Franelilla,https://youtu.be/HuweLqPKjtk
Tres millones,https://youtu.be/Huz0U-AdcfY
Atrás,https://youtu.be/Hxam8QAR580
Escuela Ofelia,https://youtu.be/IRzC-j54zuA
Embajador,https://youtu.be/IhaIsWzvYP4
Días de la semana,https://youtu.be/JMFryVTm8wg
oscuro,https://youtu.be/JTe2sW7b624
Plata,https://youtu.be/Jk7e2v_LFBw
Perejíl,https://youtu.be/KJEwfFNnLvE
Pera,https://youtu.be/KUNggdHGn4w
Lobo,https://youtu.be/KWKlTWL1nn4
Poceta,https://youtu.be/KcW1TfL_28k
Llegar tarde,https://youtu.be/Kjk9YKC7-zQ
Adelante,https://youtu.be/KugNbNdAkgs
Empanada,https://youtu.be/LGSaZuM8rXo
Ahuyama,https://youtu.be/LN6XAVj13dU
Bajo,https://youtu.be/LNXoTzSVYsM
Acuario,https://youtu.be/LZUrVjbL_II
Contaminación,https://youtu.be/Ldsl6kNO7BQ
Camello,https://youtu.be/LnVn9IPyxDo
noche,https://youtu.be/LoCe7rS3M2k
Pasta Larga,https://youtu.be/LqFGFCN-DdU
Diecisiete,https://youtu.be/LyscscQmAuc
Fuera,https://youtu.be/MQ40FfFybXk
Empresario,https://youtu.be/MtoZVBQ_uA0
Fiebre,https://youtu.be/NCPFxZLlmpE
j,https://youtu.be/NIlQGfH59ug
Frío,https://youtu.be/NVr-PeKMGy4
Salsa inglesa,https://youtu.be/Nb3sdnmsvEY
Bandeja,https://youtu.be/NkgKQHvsMaU
Espátula,https://youtu.be/O7RdPTvx73Y
Gorila,https://youtu.be/OD27Q9REQyM
Lavamanos,https://youtu.be/OI7d9j3viHQ
Gris,https://youtu.be/Od_D-4cpowE
Aceite,https://youtu.be/OizaDo09Wvo
Animales domésticos,https://youtu.be/Oq3qj4mB0eo
Sandwichera,https://youtu.be/Or6SC_ME4uA
Caballo de mar,https://youtu.be/Ou2-QFRGd6o
Pinza,https://youtu.be/PFXolKqS8Hk
Mil,https://youtu.be/PKPY8-OTFn4
Diez míl,https://youtu.be/PdD3OPHksVY
Tijeras,https://youtu.be/PsZIf6s0w28
Teléfono,https://youtu.be/PvD_fAwmgXg
Cine,https://youtu.be/Pyhp-32JSYk
Contador,https://youtu.be/Q5XK_PaCLFw
Pasteles,https://youtu.be/Q8F_eutAnFw
Lapso,https://youtu.be/QQpCtxUi-9I
Jueves,https://youtu.be/QSzJfeOO2JE
Ventana,https://youtu.be/R15qLVRANws
Ayer,https://youtu.be/RDZcpVz1ROg
Diarrea,https://youtu.be/REIX4wBwdg0
Frutas,https://youtu.be/R_jZPhTJWb8
Pepito,https://youtu.be/RjyZ66Jr-Qc
Temprano,https://youtu.be/RpxjzoVa8yQ
Animales acuáticos,https://youtu.be/RugzJYtDbaU
Bolígrafo,https://youtu.be/SK3vIkP_mIM
Escuela,https://youtu.be/STdNxxsQlis
Dos mil,https://youtu.be/Sx9BXM5_-rs
Derecha,https://youtu.be/TB6u6ketHo8
Peinadora,https://youtu.be/TUcGGyXhoLE
madrugar,https://youtu.be/TV-Sqi75sTw
Arroz con Leche,https://youtu.be/TcfkPjs79uQ
Cebra,https://youtu.be/TjkZU0FvHxw
Alimentos,https://youtu.be/U7ySHp5UFEg
b,https://youtu.be/ULCyf5s1I2s
Marzo,https://youtu.be/UTdqWH9C3bI
Kiwi,https://youtu.be/UUhx2PFYaUo
Melocotón,https://youtu.be/UVxODM0LArM
Gemelo,https://youtu.be/UWIVG-NER8w
Temperatura,https://youtu.be/UhQGm2lQZyg
Budare,https://youtu.be/UwA9Jgvt6oQ
Ciruela,https://youtu.be/Uwy8zbIWqew
Mono,https://youtu.be/V3_VPSccIgY
Veinte,https://youtu.be/VIMIuSFlT5g
Apartamento,https://youtu.be/VI_wrzojKgo
i,https://youtu.be/Vhuke-sbzTg
Bandera de Mérida,https://youtu.be/Vl-0QBquf-o
Mayonesa,https://youtu.be/Vt7N4hvddcE
Cerca,https://youtu.be/W8nbO6O2oK0
Choza,https://youtu.be/WCcsydWoqg8
Ballena,https://youtu.be/WLrWJ5bFazk
Piloto,https://youtu.be/WY8UnZD44ZY
Harina de trigo,https://youtu.be/WgLkIxf7ipY
o,https://youtu.be/XP3ChMThcCs
Tres mil,https://youtu.be/X_Q5pChHUdc
Izquierda,https://youtu.be/Xrr8lPXmm-g
Champiñon,https://youtu.be/Xu0MMM2Z4ic
Aspiradora,https://youtu.be/YBVqla606Fo
Colador de café,https://youtu.be/Yc9Xz46hwjA
Blusa,https://youtu.be/Yd70EelK488
Director,https://youtu.be/YnUkf6g17pg
Animales salvajes,https://youtu.be/Yo1DOVQ2wEA
Perro caliente,https://youtu.be/YvoPutCLIs4
Cangrejo,https://youtu.be/Z-PEL8wGFEg
Hogar,https://youtu.be/Z-ev-gzxx24
Encima,https://youtu.be/ZJHxTfwlN4E
Salsa de soya,https://youtu.be/ZWGx4KZ6HaQ
Lento,https://youtu.be/ZYLwAopwix4
Ducha de teléfono,https://youtu.be/Zqev3y5KUnI
Repostera,https://youtu.be/_0KxdJe6F0M
Guayaba,https://youtu.be/_ASya8ga23Y
Oro,https://youtu.be/_QfxSsjV9_w
Hallacas,https://youtu.be/_Sf3Kumro2s
x,https://youtu.be/_dxmyKuuh10
Abogado,https://youtu.be/_xOXTKdW3YI
Cebolla,https://youtu.be/aKbk9g0XvfA
Gallina,https://youtu.be/aWabsyhsPIc
Cremas,https://youtu.be/ad5-ARYKtr8
Números,https://youtu.be/ae10gkt5K-0
Billones,https://youtu.be/ai7PnybNcfA
Agosto,https://youtu.be/ajUrqgYeLiE
Uva morada,https://youtu.be/b-3VGN-02kU
Abril,https://youtu.be/b1nrBI4bijk
Quince,https://youtu.be/bGTmeuB5WQI
Once,https://youtu.be/beWlfyR4RVU
Catorce,https://youtu.be/bniL7TnW40s
w,https://youtu.be/bz0zRftvxFA
d,https://youtu.be/c9wsGGXTjLM
Sacapuntas,https://youtu.be/cE5Mn8wcM2Q
Naranja,https://youtu.be/cYDg0RLqPcc
Marron,https://youtu.be/cZizvlMU9Cs
Enorme,https://youtu.be/cpQS2Xqrz0M
Conjuntivitis,https://youtu.be/cwrjW4G43hw
Estrella de mar,https://youtu.be/dMOyIo9ZWTU
ll,https://youtu.be/dRp2Q3Va_VI
Jugo Natural,https://youtu.be/dYmHx0jppwA
Marcador de pizarra,https://youtu.be/dk8h1P1VcWc
Carne molida,https://youtu.be/dqux49mhUjY
Canguro,https://youtu.be/eEdB0kApYB4
Sábana,https://youtu.be/eGtHXWi489o
Globo Aerostático,https://youtu.be/eHp6uJ6O7S8
Celular,https://youtu.be/eW14u8Sa4_Y
Licuadora,https://youtu.be/ehmdqx3ubsk
Cubo,https://youtu.be/errGvv1kh-k
Manga,https://youtu.be/esQsEplkc6A
Clima,https://youtu.be/eusyUP-C1lU
Ferry,https://youtu.be/f2M3IzgRFm0
Sistemas del cuerpo humano,https://youtu.be/fANO2wO3d1I
Silicón líquido,https://youtu.be/g53pnfQc35s
s,https://youtu.be/gBlG7AhtUDU
Goma líquida,https://youtu.be/gE2NIU5AjnA
Estacionamiento,https://youtu.be/gRNdKNZhMN0
Lavadero,https://youtu.be/gV6cRLEoOL8
Viudo,https://youtu.be/gjhGO6neDmM
Juez,https://youtu.be/gsbHXft1kRs
Suegro,https://youtu.be/gzpTseWpV1g
Tempera,https://youtu.be/hOeHbH0fsnQ
claro,https://youtu.be/hXBFIL-YfFY
g,https://youtu.be/i6DDN7KU8BA
Bastante,https://youtu.be/jB3i9w0sBq0
Carnicero,https://youtu.be/jCLIf6ZtoKM
Parrillera,https://youtu.be/jFCyWtfsPyw
Esfera,https://youtu.be/jQKI8YlQstw
Florero,https://youtu.be/jn5s0tVZExE
Cuna,https://youtu.be/kWR1YyKmJFo
Rápido,https://youtu.be/kqeihT6-6oQ
Cobija,https://youtu.be/kxqRl_54l3Q
Nestea,https://youtu.be/l0pLa6uPn3I
Cama matrimonial,https://youtu.be/ld3JW9rwikU
Zapote,https://youtu.be/lhkwQal8OMg
Meses del Año,https://youtu.be/lqBd9ja6Oug
f,https://youtu.be/lyKJKiobybM
Desodorante,https://youtu.be/m6aUxZiL4FA
Agua,https://youtu.be/mA2Em3u-pCE
Marcador permanente,https://youtu.be/n4um0ZRPVu4
Chocolate,https://youtu.be/nBflbOLnXJQ
Brillo,https://youtu.be/nBglgNWtdEU
Salsa de tomate,https://youtu.be/nIIyq7-S3is
Anterior,https://youtu.be/nJF4rA3SBHc
Lechoza,https://youtu.be/nKEp19iEV1I
Soldado,https://youtu.be/nXSbtPqXnRk
Araña,https://youtu.be/nasoAmq1tgY
Pollo,https://youtu.be/nb5iqDrk6VM
Ensalada,https://youtu.be/nifgUFLoEh8
Biblioteca,https://youtu.be/nm98Lh0Pcu8
Abecedario,https://youtu.be/npdQeHP-TOI
Azúcar,https://youtu.be/nsLfTsU2ex8
Dos millones,https://youtu.be/o6E-N_mOKrk
Pasta Corta,https://youtu.be/oXf9iPmUxLg
Espejo,https://youtu.be/p1Dr2g7-Ggo
Filmadora,https://youtu.be/pEbBHqNaGnU
Doce,https://youtu.be/pTBRrH3XZgQ
Peluquero,https://youtu.be/pVX5zc7NVO4
Rinoceronte,https://youtu.be/pYvrS61Xpjo
Ají dulce,https://youtu.be/pcTvVCxa39k
Trescientos,https://youtu.be/pe4o2Uz8PGw
Sal,https://youtu.be/pjwqFOtiL3E
Puma,https://youtu.be/prP88ajldjs
Ahora,https://youtu.be/pvQgumALpkM
Caballo,https://youtu.be/q1RuEFbrLQ4
n,https://youtu.be/qHW4vQNffuI
Minutos,https://youtu.be/qPys7lcwI98
Utiles escolares,https://youtu.be/qS0ppxoY7dc
Diabetes,https://youtu.be/qbgCTBoZzkw
Treinta,https://youtu.be/r1yVkym2RhU
Cintillo,https://youtu.be/r_T1fVmFpOo
Partes del cuerpo humano,https://youtu.be/rdht5U5kDPw
Aquí,https://youtu.be/reTtOLANJK8
Alfombra,https://youtu.be/s17wEjJ55eE
Círculo,https://youtu.be/sEO7-uCKZg8
Cien míl,https://youtu.be/sXRQhSkz6Tc
Bodega,https://youtu.be/s_bTkQylKvM
Trece,https://youtu.be/sfdcC5mphpY
Cometa,https://youtu.be/srd5-Bs0pbA
v,https://youtu.be/tFX44uuiwmQ
Frambuesa,https://youtu.be/tI6Hke0AS8s
Acidez,https://youtu.be/tJ4QdUpY2NE
Uno,https://youtu.be/tY1J669yyps
Borgoña,https://youtu.be/tYezZ86EvKA
Plato,https://youtu.be/tcdulO3yt2M
Chupeta,https://youtu.be/toQZWKmUZhI
rr,https://youtu.be/ty2oy7iHg4k
Tomáte de árbol,https://youtu.be/u-MezpAglC0
Foca,https://youtu.be/u2wnY1VOZxA
t,https://youtu.be/uOS-DD8I0gk
Colores,https://youtu.be/uVZRciSabq8
Segundos,https://youtu.be/ulcXNV_E0G8
Jengibre,https://youtu.be/vInqcQQLu9Q
Persona,https://youtu.be/vcqGdP8mmbY
Madre,https://youtu.be/vlcZGfvG09A
Condor,https://youtu.be/vwqsUbb5sLQ
Avioneta,https://youtu.be/wc77qMQSjI8
Chaqueta,https://youtu.be/wjuWiQSW7hQ
Acelgas,https://youtu.be/wtj9ot2rf24
k,https://youtu.be/x2KeDfdyVuU
Cepillo dental,https://youtu.be/xFJ5chzSKcM
Pez,https://youtu.be/xHazxUjEFbw
Crema de leche,https://youtu.be/y1OrABgwa2M
Falda,https://youtu.be/yB2fnIrmsME
Dieciocho,https://youtu.be/yWYbvN7oh8Q
Gobernador,https://youtu.be/ymiZvD6VuME
Barco,https://youtu.be/ysM4cbGA7ls
Jirafa,https://youtu.be/z4UpG9EAHu8
Lloviendo,https://youtu.be/zBxVQ5f2y5w
Estadio Metropolitano,https://youtu.be/zP_-R_lzguw
Enjuague,https://youtu.be/zQ63Y2rwF_E
